step,assistant_loss_nats,assistant_target_tokens,lr_multiplier,optimizer_update_applied,elapsed_seconds
1,5.3088818921540915,475,0.05,True,173.939940135926
2,6.7104478624131945,90,0.1,True,174.0254368269816
3,5.542737843604061,179,0.15,True,174.06975928298198
4,5.486536901137408,85,0.2,True,174.11416086996906
5,5.4792045067096575,174,0.25,True,174.15881630708463
6,11.016940832138062,16,0.3,True,174.20292788604274
7,6.10333619466642,82,0.35,True,174.24724988802336
8,11.022407293319702,16,0.4,True,174.29186172806658
9,10.213901996612549,16,0.45,True,174.3359696669504
10,5.3227321790612265,115,0.5,True,174.3803538309876
11,5.408825930427103,170,0.55,True,174.42964401096106
12,5.389307445949978,144,0.6,True,174.48038366506808
13,5.313032473371329,183,0.65,True,174.5322060859762
14,8.019552111625671,16,0.7,True,174.58590128389187
15,3.861739782186655,208,0.75,True,174.63603598391637
16,5.297985672950745,16,0.8,True,174.68844890687615
17,5.303263545036316,16,0.85,True,174.71947947586887
18,4.673923313617706,16,0.9,True,174.76376746897586
19,4.850930690765381,16,0.95,True,174.8080377560109
20,4.020719814300537,140,1.0,True,174.85236605396494
21,4.60738217830658,16,1.0,True,174.89685902907513
22,4.473919965782944,98,1.0,True,174.94103491306305
23,3.599069575188865,142,1.0,True,174.98529221396893
24,4.241152770430953,135,1.0,True,175.03029375104234
25,3.2595152854919434,16,1.0,True,175.0740994939115
26,3.9771682024002075,16,1.0,True,175.1183889489621
27,3.3238616585731506,16,1.0,True,175.1631981700193
28,2.9725475907325745,16,1.0,True,175.20713577908464
29,4.135114874576498,163,1.0,True,175.25449252594262
30,3.8926230648107696,57,1.0,True,175.29696060204878
31,3.4685397992531457,192,1.0,True,175.34113135188818
32,3.7427516589089045,252,1.0,True,175.38546455302276
33,3.797878684854149,266,1.0,True,175.4344953710679
34,3.2803777384470743,83,1.0,True,175.48501579090953
35,3.6131013730250365,109,1.0,True,175.5373662370257
36,1.9871797263622284,16,1.0,True,175.59105721092783
37,3.218762531000025,136,1.0,True,175.64139581285417
38,1.8555966913700104,16,1.0,True,175.69308562506922
39,1.6911595165729523,16,1.0,True,175.7239360890817
40,1.6281605064868927,16,1.0,True,175.76748531404883
41,1.5302276909351349,16,1.0,True,175.81098935496993
42,3.058093920621005,165,1.0,True,175.8543692950625
43,2.9136911498175726,450,1.0,True,175.89779753796756
44,3.048417683651573,95,1.0,True,175.94132229685783
45,1.1985602378845215,16,1.0,True,175.98486643494107
46,1.1437033116817474,16,1.0,True,176.02827785001136
47,2.751904125044332,169,1.0,True,176.0718750259839
48,1.0406099259853363,16,1.0,True,176.1155268929433
49,2.8552738039886356,261,1.0,True,176.15913637098856
50,2.6106803169498196,77,1.0,True,176.2026238439139
51,2.3927917794866875,91,1.0,True,176.24614006094635
52,1.0190400779247284,16,1.0,True,176.2895943329204
53,2.6262913958667076,146,1.0,True,176.3332763190847
54,0.9275034070014954,16,1.0,True,176.37683370593004
55,2.419751908681164,73,1.0,True,176.42518935585395
56,1.955222612545814,81,1.0,True,176.47497843089513
57,0.8455895483493805,16,1.0,True,176.52701782085933
58,0.8666408360004425,16,1.0,True,176.5805648479145
59,2.8119043056354966,86,1.0,True,176.63068848103285
60,0.8192162215709686,16,1.0,True,176.68261872092262
61,0.7999577075242996,16,1.0,True,176.71451545786113
62,2.3325349282527315,69,1.0,True,176.75811084988527
63,1.8034235827128093,75,1.0,True,176.80161812598817
64,0.8045314848423004,16,1.0,True,176.84510109201074
65,2.6130333942703055,79,1.0,True,176.8885796389077
66,0.7140259146690369,16,1.0,True,176.93208209285513
67,2.8070021085441113,128,1.0,True,176.97551321797073
68,3.104049611509892,171,1.0,True,177.01897792494856
69,0.8434070348739624,16,1.0,True,177.06256327708252
70,1.9059158894323533,155,1.0,True,177.1060535099823
71,3.574354637145996,125,1.0,True,177.1494723688811
72,2.6407288693367166,94,1.0,True,177.1929962290451
73,1.8180155986178237,113,1.0,True,177.23657245305367
74,0.8037876188755035,16,1.0,True,177.28002294688486
